cloudflare,AS395747|AS394536|AS209242|AS203898|AS202623|AS14789|AS139242|AS133877|AS13335|AS132892
facebook,AS63293|AS54115|AS32934
fastly,AS54113|AS394192
google,AS6432|AS55023|AS45566|AS43515|AS41264|AS40873|AS396982|AS395973|AS394699|AS394639|AS394507|AS36987|AS36492|AS36385|AS36384|AS36040|AS36039|AS26910|AS26684|AS22859|AS22577|AS19527|AS19448|AS19425|AS16591|AS16550|AS15169|AS13949|AS139190|AS139070
netflix,AS55095|AS40027|AS394406|AS2906
telegram,AS62041|AS62014|AS59930|AS44907|AS211157
twitter,AS8945|AS63179|AS54888|AS35995|AS13414
firewall,AS215918|AS13335|AS395747|AS394536|AS209242|AS203898|AS202623|AS14789|AS139242|AS133877|AS132892|AS133798|AS23693|AS24203|AS45727|AS4761|AS7713|AS398962|AS2516|AS17676|AS4713|AS9605|AS2527|AS4788|AS9534|AS4818|AS9930|AS38466|AS9299|AS17639|AS132199|AS4775|AS10139|AS7303|AS27747|AS22927|AS11664|AS11315|AS131445|AS133481|AS45629|AS23969|AS24378|AS7552|AS45899|AS18403|AS131429|AS45543|AS9873|AS131267|AS10226|AS24337|AS132513|AS136255|AS58952|AS133385|AS9988|AS132167|AS38623|AS45498|AS131178|AS17976|AS38901|AS20940
